strawberry	arugula	rhubarb	beet	banana	cranberry	elderberry	raisin	watermelon	tomato	chestnut	pea	currant	nectarine	cabbage	okra	lettuce	pineapple	ginger	mulberry	artichoke	fig	kiwi	quince	asparagus	olive	kohlrabi	chickpea	potato	fennel	thyme	plantain	type
168	223	99	328	40	266	564	52	101	212	161	31	12	54	96	427	203	273	122	32	543	59	157	603	447	40	215	143	138	178	84	279	15
0	87	23	640	74	218	61	1	35	71	167	341	311	21	169	424	272	0	56	0	1	15	1	471	1	75	151	110	96	198	33	1	6
0	46	43	0	139	191	2	1	18	54	0	28	52	35	7	0	118	0	66	0	0	287	2	2	2	27	4	108	1	62	97	0	0
7	140	27	2	93	42	0	54	77	54	0	67	127	221	95	205	70	115	21	643	5	11	2	70	4	239	809	53	0	32	93	87	3
0	217	98	52	68	4	17	1	110	231	825	84	10	247	219	19	83	0	77	0	2	23	0	682	0	125	136	59	93	93	64	0	6
76	50	262	491	2	216	239	236	112	38	200	88	21	52	99	250	76	129	307	235	267	16	80	79	112	30	166	74	148	12	72	222	15
277	143	15	126	50	119	276	0	191	114	334	30	159	255	250	81	54	0	15	0	114	145	119	401	173	139	477	55	225	122	180	0	14
0	101	93	0	63	12	1	66	44	90	0	60	65	132	55	350	62	487	113	209	4	26	0	96	1	148	49	101	2	45	29	373	3
49	60	65	3	37	124	1	101	257	41	1	38	108	68	0	2	24	329	81	120	41	28	81	0	280	69	1	87	0	79	114	207	9
198	177	120	18	72	32	81	326	148	73	52	288	138	84	84	468	140	98	93	68	374	36	324	110	72	46	283	135	232	144	48	231	15
440	182	56	2	139	3	1	2	80	83	2	64	70	296	511	137	13	0	69	0	411	133	37	115	208	97	116	84	0	311	86	0	10
0	105	30	1	219	211	1	91	47	44	0	143	80	115	696	215	176	147	13	76	0	36	0	22	0	65	350	63	1	35	115	71	3
132	4	51	0	25	25	0	246	71	152	0	40	63	53	340	173	65	116	26	134	344	119	107	272	84	42	222	65	0	76	149	78	11
0	13	139	1	73	116	0	18	12	36	5	69	79	359	119	187	142	116	188	200	0	69	0	84	1	72	70	17	0	169	72	193	3
2	73	24	226	88	73	272	0	52	103	90	65	160	25	277	213	120	0	67	0	1	26	1	77	0	119	334	124	411	25	149	0	6
1	39	74	1	150	242	0	513	208	330	2	29	120	54	297	196	39	163	465	26	2	19	1	219	1	45	141	103	0	101	84	60	3
113	26	205	11	21	40	1	0	146	105	1	144	22	151	0	4	50	0	54	2	40	26	331	0	308	208	0	103	0	276	16	0	8
42	125	161	1	161	173	2	1	20	38	0	34	47	20	0	2	52	3	249	1	58	22	99	4	115	30	0	30	0	224	268	0	8
135	335	105	0	453	72	2	654	140	226	2	143	22	19	2	0	38	161	44	269	37	98	6	0	25	126	2	60	0	14	64	171	9
259	288	34	327	34	167	121	323	186	28	78	580	41	81	0	1	19	393	256	65	94	153	22	1	298	88	0	13	384	137	41	235	13
6	14	250	0	56	221	1	0	41	35	0	161	87	76	75	167	146	0	193	0	7	238	1	89	0	332	62	58	0	36	76	1	2
168	12	136	200	62	27	176	0	88	25	194	45	166	93	1	0	188	0	85	2	62	205	140	1	46	168	0	66	61	168	130	3	12
105	37	118	1	70	118	0	408	166	58	0	5	48	224	1	2	341	16	74	15	80	52	180	1	157	50	0	35	4	69	88	171	9
54	21	153	108	151	56	611	341	80	360	32	239	102	127	0	1	8	114	77	223	284	41	187	0	482	98	3	78	125	22	86	142	13
1	84	133	72	335	43	27	275	176	118	67	64	104	57	0	1	220	108	21	219	0	25	0	1	0	95	0	37	288	176	71	22	5
1	109	64	4	129	123	1	82	66	210	2	121	89	69	285	65	238	13	27	129	1	192	1	125	1	159	380	293	0	77	92	101	3
184	28	103	552	124	143	191	475	238	187	188	147	8	15	97	135	180	218	51	254	328	118	156	170	48	261	774	109	144	97	125	277	15
244	87	85	514	83	51	71	3	20	50	389	37	33	16	98	289	59	0	226	0	158	173	498	205	139	174	111	100	392	40	32	1	14
1	75	49	176	68	120	81	150	97	73	63	25	437	55	5	0	64	1030	139	87	0	310	0	0	2	24	0	144	666	83	171	90	5
277	13	112	267	197	86	789	86	16	50	498	28	25	33	124	92	42	637	81	67	323	30	63	100	318	89	306	75	372	114	211	279	15
2	74	136	537	251	141	63	72	175	41	234	157	63	90	1	0	87	137	29	122	0	100	0	0	0	59	1	23	102	17	375	87	5
280	237	77	9	62	68	242	1	54	168	105	83	86	62	0	0	52	1	94	0	159	79	257	5	144	92	1	78	75	13	39	0	12
140	259	42	5	34	33	0	1	128	252	0	124	62	44	134	314	44	0	22	1	104	104	241	115	219	161	303	17	1	141	25	2	10
58	90	131	1	66	126	5	1	175	136	3	29	70	41	0	5	59	0	156	2	347	16	304	0	203	68	1	25	0	450	121	0	8
151	104	177	97	134	114	176	43	203	101	138	50	104	312	0	0	85	205	8	245	162	45	457	0	168	135	1	109	318	112	25	108	13
2	39	65	42	51	66	182	55	36	18	22	29	138	29	0	2	96	377	22	113	1	24	0	1	1	68	1	110	94	246	58	10	5
0	171	67	0	32	414	0	3	60	131	2	108	22	134	251	206	161	0	16	2	1	35	2	50	0	173	742	47	3	66	82	0	2
1	20	65	423	116	58	917	79	150	53	350	13	80	134	1	0	126	276	43	93	0	70	1	0	2	329	0	38	78	190	30	221	5
138	83	33	283	33	181	476	4	130	103	170	129	146	71	2	1	138	1	125	2	283	5	789	0	244	53	3	26	32	70	186	1	12
83	206	268	1	50	133	0	94	136	89	4	80	115	48	4	0	25	113	61	125	150	28	164	0	408	32	0	169	0	135	55	217	9
109	99	16	47	156	189	533	2	135	61	183	41	66	172	40	275	29	0	140	0	662	83	143	184	103	94	159	32	66	70	138	0	14
0	56	25	2	29	228	3	247	19	93	0	60	43	44	0	0	111	159	141	213	0	42	1	0	1	33	1	132	0	227	144	130	1
24	33	270	0	57	80	1	1	8	23	2	22	260	165	1	1	60	0	68	0	187	33	533	0	463	107	0	84	1	90	212	0	8
5	119	25	1	181	24	0	1	5	34	0	193	47	48	114	342	213	0	9	0	0	138	0	30	1	14	78	103	0	71	56	3	2
1	92	93	0	175	40	1	0	112	198	4	216	5	0	45	279	268	1	21	1	0	86	0	62	0	79	23	52	1	126	12	0	2
1	99	93	1	80	17	2	4	190	32	0	169	158	88	0	0	68	0	46	2	2	129	0	4	2	65	1	116	3	138	77	0	0
158	214	301	0	4	28	1	126	72	180	2	15	111	3	375	111	81	171	122	319	337	122	30	172	150	88	386	6	0	189	57	169	11
133	276	76	2	93	89	1	86	198	51	0	72	118	116	148	225	74	80	87	130	162	67	189	169	210	22	655	65	0	24	18	183	11
126	251	14	419	89	127	502	0	125	85	76	0	6	91	78	153	228	1	23	2	188	27	100	91	340	82	363	59	697	24	131	1	14
1	20	132	138	99	129	93	872	38	154	213	14	128	66	2	0	71	61	84	306	0	90	1	1	0	54	0	39	161	228	148	105	5
98	13	51	0	107	6	0	0	10	132	0	57	49	86	0	2	14	0	199	1	102	204	239	0	372	34	2	18	0	32	255	0	8
1	60	23	0	117	25	1	2	19	205	0	128	20	86	39	144	41	1	34	2	0	120	0	360	1	57	271	20	2	38	229	1	2
31	95	5	0	81	36	0	1	93	175	0	228	239	120	1	1	45	1	105	0	139	165	277	0	334	27	2	35	1	38	29	2	8
2	131	118	48	169	292	364	157	175	58	239	277	18	223	0	1	67	85	277	265	0	16	0	0	1	132	3	90	319	224	84	185	5
182	80	122	2	45	19	0	3	68	157	0	214	76	53	0	2	141	5	206	0	249	18	388	1	231	99	3	5	2	6	32	0	8
669	75	28	28	137	89	242	0	18	75	71	40	24	85	87	579	153	0	106	0	371	112	329	106	125	11	155	100	111	43	17	0	14
92	108	96	81	45	33	110	1	21	122	64	84	53	113	0	0	72	2	40	0	135	225	12	2	266	26	0	26	501	89	105	2	12
56	158	15	69	36	228	80	317	74	104	43	202	45	151	0	2	87	39	214	262	244	128	222	1	51	98	1	34	146	40	35	8	13
3	107	67	1	74	88	1	3	71	74	1	39	105	87	265	157	19	0	122	2	0	95	1	188	2	37	575	226	0	107	171	0	2
85	26	196	0	114	7	1	102	246	98	2	365	180	20	487	238	154	14	181	364	82	286	236	85	460	23	370	68	0	71	31	133	11
2	182	72	117	24	55	207	14	132	69	186	181	70	109	241	138	71	129	45	109	0	170	0	53	1	40	122	78	26	171	15	282	7
227	43	44	0	41	120	1	222	64	77	1	74	227	44	1	2	92	180	325	229	578	43	310	3	165	135	1	36	0	31	31	354	9
0	9	40	98	95	230	175	0	41	395	43	153	299	79	49	4	280	2	56	3	3	42	1	369	1	170	232	74	112	89	109	0	6
2	12	43	1	69	241	1	52	53	274	0	179	127	71	0	1	37	278	178	363	595	175	104	5	39	103	4	40	1	134	169	256	9
0	113	131	0	72	3	5	117	20	128	0	152	323	17	1	0	32	41	57	197	0	227	2	0	1	71	4	279	1	147	53	301	1
167	21	135	0	184	256	0	0	66	183	3	145	141	90	264	177	18	0	179	0	293	61	30	200	417	116	236	81	0	12	44	1	10
359	26	127	1	25	112	0	90	381	87	1	59	16	112	293	136	45	221	48	303	604	73	109	44	216	227	352	74	0	260	44	58	11
146	96	49	1	103	78	1	2	110	126	1	132	111	89	1	1	71	0	40	1	321	137	43	4	151	175	1	43	1	220	40	0	8
0	49	6	144	18	45	148	95	12	32	258	72	62	247	247	54	115	266	36	183	1	181	0	265	0	66	314	110	319	199	101	477	7
1	84	74	1	119	144	2	237	269	172	0	165	191	69	342	185	226	100	83	108	0	151	3	248	1	59	83	15	3	26	180	407	3
312	32	286	1	90	75	1	4	341	84	0	124	31	144	238	350	69	120	162	565	94	52	203	206	196	76	117	56	0	119	32	28	11
4	150	217	343	36	59	120	676	62	145	53	114	15	135	310	161	253	98	34	122	1	62	0	138	0	38	303	170	31	39	127	130	7
26	83	94	33	240	78	32	49	67	34	347	43	14	92	1	2	38	195	63	187	176	103	247	0	51	32	3	122	268	48	188	436	13
1	106	254	0	105	9	1	224	143	22	0	69	58	75	122	70	18	174	21	30	1	30	4	15	0	112	173	65	2	152	68	280	3
0	50	130	133	55	27	190	1	28	58	38	345	79	226	2	1	60	1	193	1	1	64	0	1	3	134	2	30	284	102	36	1	4
0	75	68	148	47	142	62	0	73	75	546	127	79	25	87	475	183	0	45	0	0	69	1	14	5	326	50	43	390	58	187	0	6
135	195	101	0	86	82	0	569	83	69	3	64	237	5	16	278	252	356	85	65	432	33	453	29	424	80	25	65	0	87	164	274	11
0	32	118	90	93	106	174	332	123	169	146	127	26	54	305	290	52	400	128	59	3	153	1	127	0	61	295	16	122	68	67	9	7
1	149	17	139	19	28	182	344	158	68	321	102	155	70	433	49	59	399	10	135	5	129	2	383	0	43	80	71	156	77	54	267	7
473	57	23	597	59	166	421	37	9	53	183	89	213	124	4	1	327	128	242	212	249	70	33	2	100	81	2	98	89	40	11	89	13
356	74	15	0	38	172	0	3	236	171	1	128	59	71	0	2	129	1	110	0	103	192	115	0	102	95	2	73	0	195	34	0	8
0	58	7	278	109	380	63	0	171	107	371	101	36	95	2	0	152	4	57	4	0	30	0	0	2	27	1	131	194	74	94	0	4
224	26	189	75	150	36	151	0	122	69	302	248	7	134	115	83	130	1	184	1	346	66	290	378	136	19	258	181	92	60	7	1	14
1	90	40	142	93	89	165	399	65	92	95	292	68	121	79	229	115	18	59	86	1	16	1	61	1	86	192	44	190	205	71	531	7
0	23	104	1	100	22	0	1	64	102	3	174	192	238	121	304	117	0	44	1	2	16	0	381	0	20	106	51	1	62	66	3	2
85	86	59	1	124	77	4	743	62	17	1	115	30	48	2	1	195	67	30	190	113	23	90	0	137	253	1	1	0	17	228	192	9
734	13	20	79	119	128	331	249	20	131	396	204	77	54	1	0	30	143	81	25	242	155	534	2	46	156	2	152	139	36	91	190	13
152	90	48	626	105	192	12	0	64	77	222	51	34	68	257	79	215	1	278	2	137	67	8	155	40	23	143	48	315	50	64	0	14
60	55	119	1	27	171	1	1	134	128	1	110	144	95	0	3	101	1	74	5	431	97	365	0	126	155	4	100	0	48	82	0	8
135	60	19	69	57	204	345	120	84	32	198	15	69	16	41	18	82	47	4	168	48	77	179	422	237	21	85	208	42	105	25	223	15
3	86	253	2	71	51	1	0	126	55	2	7	222	133	163	25	37	1	120	1	1	47	0	230	0	53	167	133	0	45	186	2	2
326	54	67	46	196	15	248	128	3	24	237	77	14	95	0	1	130	61	161	386	123	332	197	1	56	32	0	97	123	54	18	178	13
3	192	130	141	100	68	177	1	130	52	10	120	104	139	1	0	39	307	238	59	0	37	4	0	3	36	0	43	50	32	30	33	5
221	18	48	0	56	35	0	0	33	82	0	154	249	14	0	1	25	1	52	0	212	99	100	0	661	111	0	59	3	79	106	1	8
1	14	7	1	57	36	1	184	136	30	1	270	247	41	0	0	11	59	56	200	1	179	0	0	0	29	3	211	0	3	145	160	1
6	119	69	1	71	113	1	0	36	25	1	61	113	96	1	0	80	0	163	0	1	152	0	1	0	14	1	105	1	85	28	3	0
188	7	84	170	141	98	127	273	251	86	18	69	76	46	1	1	104	52	112	354	258	61	192	2	163	46	1	80	121	86	11	219	13
2	392	56	0	59	36	2	289	148	135	1	118	115	25	112	76	88	468	227	250	3	98	1	143	1	77	323	53	0	92	40	140	3
3	25	67	1	89	73	2	0	51	115	0	48	41	146	45	194	245	0	269	0	0	39	1	112	0	143	240	150	0	70	76	2	2
49	40	37	2	48	67	2	83	27	86	1	21	50	97	3	0	294	237	93	238	110	12	347	1	199	51	3	13	0	33	92	141	9
316	75	142	3	95	153	1	71	60	333	0	46	138	60	1	0	103	75	103	42	92	88	136	0	375	270	0	59	1	29	83	41	9
143	42	21	41	39	38	325	134	11	89	140	176	21	77	156	83	170	226	65	231	140	106	320	283	579	56	521	179	169	323	62	67	15
34	74	6	0	11	32	2	1	275	12	0	11	41	52	2	1	64	1	92	0	315	17	109	1	60	98	1	52	0	31	268	1	8
205	40	49	30	42	59	90	283	70	82	195	45	67	246	218	225	14	33	186	113	104	258	381	222	159	76	112	18	85	67	119	67	15
23	44	117	126	123	206	336	93	156	92	113	85	38	98	86	53	44	182	172	327	454	242	4	109	388	262	223	7	57	34	13	96	15
445	111	83	53	117	22	458	4	92	202	258	85	22	134	81	89	66	1	186	1	31	195	100	45	73	20	14	34	82	67	220	0	14
104	189	25	719	135	134	134	98	42	156	430	214	158	138	283	50	91	299	41	133	81	141	167	168	105	166	300	205	334	224	95	142	15
0	571	74	0	33	87	0	1	112	41	1	77	87	84	25	259	12	0	1	1	4	57	1	472	0	201	343	63	0	35	91	0	2
0	76	228	69	200	50	167	0	53	158	96	94	21	36	46	134	85	1	44	0	0	79	2	117	2	117	200	54	79	150	135	1	6
0	110	103	0	42	74	1	365	117	161	2	29	40	7	2	1	30	163	42	413	0	12	0	0	1	150	1	127	0	137	271	228	1
0	191	32	1	41	26	4	53	89	142	2	82	86	119	1	1	84	203	61	107	0	85	1	3	2	54	3	276	1	56	71	35	1
0	176	72	3	134	31	1	21	267	65	0	23	160	115	3	0	247	123	164	103	5	67	0	0	2	98	1	140	0	78	60	763	1
66	95	36	0	33	118	1	4	42	76	1	118	47	228	239	355	124	1	76	0	177	69	103	2	470	217	220	93	1	70	42	0	10
483	90	35	2	148	72	1	1	42	39	0	8	9	172	0	1	80	1	49	1	42	77	462	0	140	38	0	124	1	371	61	4	8
203	48	178	57	58	155	324	85	60	82	424	23	157	123	45	378	104	20	47	253	312	119	595	209	45	60	101	21	58	83	99	24	15
89	120	200	0	77	26	2	44	55	26	0	106	151	23	1	0	80	207	82	203	140	135	83	0	139	5	1	148	1	38	83	219	9
42	92	87	2	171	36	1	0	164	30	3	125	38	45	0	1	130	5	80	0	63	194	192	1	277	30	0	38	1	59	21	3	8
100	81	50	0	34	334	1	0	133	2	1	143	122	207	0	0	52	1	103	2	133	1	397	1	25	65	1	42	1	46	23	0	8
455	29	34	717	168	14	272	1	115	83	228	167	37	241	17	78	155	1	74	0	66	13	84	71	188	111	355	130	99	117	28	0	14
0	68	420	0	64	41	2	3	87	252	0	140	58	58	0	1	98	0	189	0	2	24	1	0	0	47	0	92	2	247	167	0	0
209	108	115	184	99	110	28	0	29	54	356	460	123	82	107	242	73	0	27	1	21	29	79	24	291	89	101	139	359	138	290	0	14
0	12	52	793	29	114	544	1	86	24	160	332	189	13	1	1	330	0	44	1	0	41	1	3	1	141	1	21	161	3	137	3	4
4	78	109	54	174	112	511	0	246	83	343	49	79	50	1	2	136	2	144	1	0	28	4	0	0	19	2	73	174	94	125	2	4
54	35	16	21	264	46	119	1	203	175	401	59	49	30	0	0	119	0	275	0	406	34	510	0	167	11	1	128	148	100	32	0	12
0	117	132	890	8	265	435	369	91	200	103	45	14	102	237	74	210	168	30	560	3	116	0	262	0	130	281	62	76	168	87	363	7
2	76	135	67	190	117	130	382	59	101	88	29	86	67	1	0	38	563	8	641	0	166	2	1	0	60	2	30	678	96	81	127	5
162	74	22	5	106	99	0	108	58	133	0	3	36	191	2	0	86	121	5	44	699	62	344	2	59	73	1	46	0	41	66	256	9
1	17	3	261	36	211	109	0	26	26	118	167	68	84	208	389	121	1	205	4	1	146	1	163	0	83	89	11	247	78	102	0	6
708	52	21	1	56	56	2	125	120	48	0	102	51	36	67	153	100	255	120	119	321	105	188	157	111	51	42	87	3	78	195	111	11
241	45	43	0	63	175	1	124	126	216	0	98	119	121	1	1	98	243	47	67	323	26	473	0	664	166	1	321	0	231	106	234	9
143	33	53	0	97	136	0	393	41	28	0	90	47	126	184	158	168	215	299	106	118	331	102	180	175	95	165	11	0	97	139	363	11
211	24	96	377	13	48	412	170	119	60	153	192	20	16	231	163	89	67	11	72	138	20	104	227	196	115	524	182	300	47	56	54	15
3	15	70	2	50	43	0	367	136	123	2	63	18	334	0	0	15	77	73	87	0	54	3	1	1	27	0	32	2	85	242	103	1
0	82	8	0	79	227	2	302	200	128	0	97	31	144	365	187	73	350	58	38	2	111	4	498	1	74	162	18	0	58	255	227	3
0	19	198	279	100	19	167	107	58	165	492	21	23	221	131	179	133	340	77	230	0	45	0	195	3	138	421	112	61	75	246	135	7
2	71	33	0	172	40	0	103	98	48	1	113	214	177	82	194	63	81	47	267	3	47	1	53	0	161	142	91	1	12	74	384	3
355	457	167	48	63	2	193	43	142	55	123	14	3	122	178	109	39	73	91	293	19	87	288	6	124	209	91	33	141	36	27	34	15
1	40	234	233	27	179	88	112	23	92	52	113	10	58	738	137	91	539	129	162	2	58	0	157	2	170	255	181	394	15	36	53	7
2	11	20	1	241	175	0	347	258	40	0	78	27	114	0	0	61	602	192	145	1	69	2	1	0	16	0	65	1	46	26	56	1
228	27	162	168	45	61	235	0	325	194	127	76	340	159	10	252	40	0	84	0	385	49	900	103	62	65	98	28	285	5	194	3	14
45	78	49	76	80	63	151	0	81	65	215	56	143	84	0	1	173	0	71	0	240	225	113	0	198	27	0	8	134	109	132	0	12
362	26	226	0	70	19	0	0	20	94	0	107	249	73	0	1	150	0	76	1	168	85	71	0	572	136	3	158	3	74	61	3	8
257	55	77	0	140	47	5	22	195	45	0	195	162	228	0	0	49	124	277	3	224	26	159	0	199	174	0	10	4	171	37	67	9
88	114	90	21	184	0	302	76	22	54	99	255	67	11	0	2	184	103	11	261	51	196	215	1	376	162	1	178	170	173	100	230	13
0	115	299	0	68	69	2	1	44	249	0	324	207	133	141	90	54	0	40	3	0	140	1	203	0	23	366	94	0	94	296	3	2
107	49	17	1	192	31	0	172	222	31	2	75	57	201	1	0	61	184	72	339	96	112	457	1	125	30	1	110	1	141	80	64	9
0	7	86	156	531	63	79	3	36	58	214	129	88	175	94	173	193	0	136	1	1	102	4	453	0	198	5	4	154	35	39	2	6
3	364	121	0	103	243	1	2	168	125	0	37	84	139	93	171	123	0	28	1	0	309	5	78	0	29	110	103	0	92	23	0	2
205	13	178	0	125	179	0	1	26	169	3	76	82	28	110	176	161	1	79	4	543	126	464	118	44	35	135	388	1	9	35	0	10
2	4	257	185	71	117	138	0	147	132	208	46	77	41	41	106	178	1	215	0	0	136	0	95	0	97	25	68	181	143	199	1	6
235	57	34	494	77	223	697	115	107	14	75	169	158	209	0	0	92	526	8	137	293	27	121	0	344	139	0	10	195	62	120	29	13
5	269	149	0	241	27	2	4	132	332	0	111	38	291	222	176	6	1	27	0	0	114	1	181	0	344	112	37	2	67	68	5	2
139	136	72	204	257	63	121	0	144	34	141	142	12	84	1	0	61	0	230	0	469	1	157	0	124	80	1	71	668	48	227	6	12
3	14	204	129	10	11	295	226	90	68	306	211	52	226	1	1	42	157	112	399	0	68	2	3	0	139	0	63	421	213	22	97	5
455	71	94	186	227	40	93	3	113	91	101	85	54	34	517	101	43	1	40	1	170	24	289	131	356	86	182	104	176	20	29	4	14
0	86	529	2	163	69	1	344	53	59	3	130	10	9	193	112	62	219	131	45	0	64	1	187	2	42	175	88	1	65	130	192	3
0	13	30	1	71	19	1	154	91	247	0	38	67	223	242	86	39	58	258	70	0	137	3	203	3	241	78	70	1	51	17	244	3
3	59	39	0	57	30	0	0	91	63	2	92	4	206	143	19	69	0	43	0	2	35	1	293	0	134	232	103	1	155	13	1	2
142	231	75	145	30	14	44	1	82	177	73	22	146	32	481	136	172	4	150	0	150	84	129	219	131	32	61	29	282	89	115	2	14
102	21	109	39	26	50	171	124	52	61	384	117	249	105	0	1	177	55	64	334	318	56	563	1	24	267	2	1	154	136	103	519	13
87	238	14	0	276	130	0	169	50	70	0	54	142	330	0	4	81	71	28	224	74	20	46	3	155	167	1	52	1	98	164	262	9
3	56	59	0	176	18	2	6	23	200	1	118	155	56	0	1	136	402	54	219	1	10	3	2	1	245	0	45	0	55	38	67	1
0	59	62	621	37	63	78	0	168	81	185	84	40	160	4	2	54	1	187	1	0	66	0	1	1	61	2	94	150	105	168	2	4
0	139	22	233	151	30	249	0	161	89	382	74	86	241	2	7	41	1	239	2	0	182	1	3	2	52	0	128	51	265	27	0	4
0	29	22	4	69	23	0	192	70	53	0	81	95	16	0	1	129	355	76	267	2	100	0	0	1	25	0	55	0	20	107	138	1
0	51	35	39	167	130	77	0	23	114	304	158	94	149	298	91	72	0	62	0	2	13	4	250	1	79	85	77	399	37	5	0	6
19	11	29	41	184	14	174	102	185	10	39	181	17	125	0	1	1	449	7	473	30	32	263	1	255	79	0	62	140	69	26	196	13
49	211	94	2	356	70	1	134	146	103	1	38	265	66	0	0	431	310	138	360	237	22	401	3	443	72	5	134	1	3	214	128	9
149	65	148	1	72	54	1	0	21	135	0	44	85	126	0	0	15	0	195	0	29	78	53	2	85	75	0	149	0	84	25	1	8
208	201	59	3	187	136	6	415	132	68	1	209	134	75	0	0	114	158	78	382	43	121	68	3	125	75	0	95	0	87	15	549	9
0	10	17	3	113	56	3	66	16	169	0	19	27	28	0	3	80	341	46	431	0	109	1	2	0	61	1	131	2	118	29	359	1
0	55	126	0	49	49	1	254	87	72	0	214	180	214	0	0	52	123	48	92	1	257	0	2	1	143	0	118	1	207	165	432	1
122	156	14	199	58	139	138	100	98	52	318	64	82	36	146	478	82	183	17	27	233	150	226	32	254	75	104	35	539	76	29	123	15
0	4	47	2	134	143	2	262	140	73	0	55	51	105	85	143	63	64	89	397	0	53	3	474	2	76	254	119	0	73	78	134	3
0	114	74	1	55	42	0	0	95	122	2	76	210	150	93	92	72	0	253	2	1	31	1	378	1	167	183	28	0	225	7	1	2
1	96	263	0	37	32	1	22	93	79	0	246	38	179	0	1	14	135	37	334	0	90	4	2	1	79	1	83	1	106	10	310	1
1	17	103	2	125	233	0	0	53	199	1	18	123	130	84	62	35	0	42	1	0	21	0	704	0	56	506	87	1	239	240	0	2
156	83	28	0	99	73	3	133	115	147	0	36	70	88	0	3	107	64	141	230	342	316	9	1	322	260	2	93	1	252	291	88	9
1	83	157	22	114	43	91	100	32	40	310	39	52	138	412	199	110	207	38	304	1	151	0	199	5	33	59	169	51	206	80	347	7
0	74	33	188	160	152	175	159	229	82	42	157	71	42	1	0	43	36	103	242	1	22	1	1	1	47	0	198	75	37	20	4	5
0	11	59	2	128	12	2	8	77	79	0	378	14	192	6	67	163	230	189	78	0	71	0	284	2	182	226	257	1	209	137	233	3
418	157	228	129	49	75	353	111	52	355	403	104	32	90	82	110	6	36	110	392	103	149	263	68	343	105	213	102	189	63	35	52	15
476	159	159	2	11	26	1	1	145	94	0	224	27	332	1	0	139	0	21	1	328	186	265	0	223	64	1	94	3	262	291	0	8
0	66	60	103	163	248	173	2	42	93	90	17	53	205	1	0	237	1	120	0	2	76	2	1	0	50	0	41	9	52	148	2	4
151	90	162	1	80	28	2	97	61	87	0	18	75	221	1	4	80	35	82	621	194	98	24	3	199	163	2	33	0	19	121	253	9
1	95	24	0	267	42	3	0	72	289	3	132	100	106	440	172	105	0	55	0	0	44	1	120	4	219	206	35	3	23	269	0	2
1	178	17	385	77	37	139	358	125	229	110	162	189	84	335	65	61	283	147	30	6	40	0	82	1	234	293	18	109	138	196	385	7
0	76	157	1	23	96	1	0	61	95	5	73	35	204	0	1	11	0	165	0	1	122	5	3	4	47	1	84	1	15	67	0	0
1	40	36	0	84	7	2	1	46	70	2	26	0	121	222	316	129	0	19	1	0	90	0	566	1	46	296	79	0	46	122	2	2
112	81	236	0	63	214	0	0	157	26	0	104	164	70	0	1	113	1	171	0	332	197	115	0	52	194	1	139	1	231	24	0	8
140	15	128	0	38	114	1	2	130	144	2	46	108	46	0	1	119	1	54	0	479	38	31	0	51	62	3	54	0	116	203	1	8
119	103	103	31	242	52	63	2	66	47	413	119	27	34	91	131	79	0	100	1	120	76	151	144	101	4	17	37	58	198	193	1	14
562	50	104	127	49	48	325	0	81	249	272	81	19	86	69	662	56	1	85	1	302	107	68	301	155	243	419	90	32	176	120	1	14
0	36	35	0	62	33	4	400	42	62	1	103	39	57	206	301	83	70	234	76	2	35	2	341	0	43	136	49	5	19	127	68	3
1	60	118	462	77	121	183	0	14	158	68	60	231	89	0	0	32	0	245	2	1	61	0	0	1	53	1	42	71	255	15	1	4
68	81	29	119	61	62	59	0	142	53	93	74	16	218	0	1	24	1	27	0	97	83	122	1	602	119	3	41	245	84	212	0	12
123	45	83	75	73	65	241	115	161	62	52	94	113	94	151	164	214	371	59	329	416	90	50	110	136	94	90	60	566	92	165	337	15
55	55	37	1	119	45	0	0	48	22	0	32	115	50	4	0	108	1	78	2	276	86	42	2	65	108	0	105	2	86	68	0	8
200	64	108	3	215	70	0	2	13	28	8	167	136	26	65	9	182	2	240	4	137	48	118	267	217	220	19	195	2	48	582	1	10
2	43	194	22	75	40	199	2	76	165	682	65	136	56	61	106	152	1	75	0	3	35	0	106	0	38	208	232	386	135	188	1	6
0	57	73	0	131	104	3	2	13	294	0	205	113	64	0	1	33	0	166	0	0	65	0	0	1	28	0	94	3	146	60	0	0
578	8	169	963	44	117	82	384	174	73	516	17	44	461	0	0	56	155	129	592	15	299	30	0	153	66	2	273	261	88	85	555	13
281	38	15	167	181	155	106	8	16	179	375	99	210	69	0	1	97	0	135	1	151	115	139	1	181	118	1	164	64	171	19	2	12
1	149	107	415	318	187	315	2	100	57	269	39	114	87	133	43	34	1	20	3	3	92	1	61	0	16	176	14	209	36	70	0	6
0	62	58	2	36	143	1	69	53	70	1	34	219	57	4	1	77	135	75	57	0	29	1	1	0	281	0	112	0	124	10	51	1
2	82	284	0	98	32	0	1	91	25	1	57	177	90	2	0	56	1	74	1	1	55	2	0	1	87	2	180	0	52	26	0	0
0	192	229	181	272	45	314	143	119	50	198	92	109	256	68	459	90	128	9	270	0	12	0	340	0	68	68	267	91	88	12	12	7
118	85	99	431	158	102	324	2	109	209	351	47	90	89	58	101	76	3	63	0	372	312	232	73	109	108	50	37	109	54	42	0	14
220	49	146	2	85	22	0	1	33	55	0	72	62	30	4	1	45	0	34	0	153	189	27	2	107	118	0	67	0	55	42	0	8
